Unbinned kinematic summaries of RefL0050N0752 galaxies from snap 28 using SimSpin 2.9.0 on date: 2024-07-29
/ batch no: 
12
-------------------------------------------------------------------------------------------------
'GalaxyID','lambda_re','vsigma','j','sigma_m','rotational_velocity','unique_pixels'
348,0.671166367849326,0.98338993645908,14.8893819169656,47.4661051115382,92.8900258589798,900
349,0.75567497913715,1.19582230432935,15.2416078571066,39.9320661769026,79.867028354391,900
35,0.468640353415612,0.468218024398062,10.7959484599209,101.20270409711,89.5852362397469,900
350,0.426612680039795,0.240043272116054,6.71589025225741,64.9953673661545,29.5944420577137,900
351,0.287414059551197,0.237734950669993,7.68771233367891,85.1287964961329,17.3294586089008,900
352,0.656548516637158,0.825119522070576,20.5544701579255,68.810991324442,133.643776939268,900
353,0.795665923614334,1.27774324835579,21.4251503802588,38.0686594593036,72.5951533681735,900
354,0.689748085758483,0.897029651611397,15.6583198518828,41.6600994618267,86.5531685861098,900
355,0.760979857639077,1.29248022792735,21.639394808625,33.4938380257729,97.6051704691025,900
356,0.506377854545554,0.375826714221848,10.1409692768296,69.5260072734025,33.8836329705501,900
357,0.292563655292004,0.237477507982163,9.59505664355389,88.2371569466867,42.5672235282264,900
358,0.734656375518757,0.883780879077279,21.4694871862416,45.8332884088881,116.887423029498,900
359,0.664301226984945,0.568010728937618,6.53293691824661,47.4373528517945,61.0459035320268,900
36,0.880751341032741,1.70204001182443,36.0865677343914,39.9224135123046,176.354240859006,900
360,0.690297908411369,0.792502120422139,4.50545727776531,44.3647088102716,70.5750718752688,900
361,0.379467113097248,0.343646737261088,8.43077250134839,62.533592438201,18.8908963971873,900
362,0.526538327928191,0.451956601285126,9.79444197463411,55.3830800030472,12.127349628081,900
363,0.81206158506442,1.144661981474,17.8250614904121,40.2167231965717,107.617351572027,900
364,0.670730420075627,0.636791808624181,15.3435222411617,54.4979254142985,91.1843846459454,900
365,0.744777069853167,1.20057472711121,7.48888455119419,50.9214973152899,106.311883140628,900
366,0.753825657570949,1.1111397792042,22.9200165618134,48.7801797753027,128.689478474502,900
367,0.558781106962893,0.448945335785681,6.32067150044639,43.6836359730963,17.8190620339115,900
368,0.802357539708036,1.26010388466848,23.5850562550114,46.8728584559391,120.474519668637,900
369,0.833872748890041,1.26260883011757,17.6604401594309,35.7102321069038,91.0841531512265,900
37,0.744852781387866,1.1005700821695,13.3137881867572,55.1576312119469,114.869538084215,900
