"CentreOfPotential_x","CentreOfPotential_y","CentreOfPotential_z","StellarMass","GasMass","DMMass","SubGroupNumber","GroupNumber","StellarMass_Msol","GasMass_Msol","DMMass_Msol","GalaxyID"
25.5572052001953,31.1797657012939,23.6386795043945,65.2430953979492,1646.71728515625,10087.7412109375,0,1,962751419395.006,24299573678355.9,148858467092670,1
24.7676486968994,31.5704593658447,23.0625534057617,3.14074087142944,1.1875661611557,96.8478775024414,1,1,46345942256.0698,17524168654.2369,1429123357225.02,480
26.3121871948242,30.267894744873,23.1835060119629,4.42920923233032,0,71.4155349731445,2,1,65359061356.8209,0,1053834237061.81,481
25.2293605804443,30.8894157409668,23.834415435791,7.79229640960693,0,57.8441314697266,3,1,114986028528.185,0,853569551482.394,2
24.9046230316162,30.7126884460449,22.8341617584229,3.89741492271423,0,59.7858657836914,4,1,57511706425.4488,0,882222506334.632,7
25.0945644378662,30.7098617553711,22.8042602539062,3.41153979301453,0,43.9213066101074,5,1,50341952018.2747,0,648119161462.921,482
25.5935668945312,31.0642890930176,23.565242767334,7.75160789489746,0.00207288004457951,24.343729019165,6,1,114385613648.255,30588190.106278,359225133688.326,5
25.3031902313232,31.3879318237305,23.5742301940918,0.745317757129669,0,30.8880176544189,7,1,10998186462.4934,0,455795094602.832,483
25.6371440887451,31.855619430542,23.6260604858398,1.84105718135834,0.5730220079422,28.876823425293,8,1,27167325580.2609,8455726205.60045,426117163367.967,484
25.4946537017822,31.3430671691895,23.6951217651367,5.40898990631104,0,18.4572315216064,9,1,79817069960.1401,0,272361783835.403,485
25.8700828552246,30.9211463928223,23.8437118530273,2.37775206565857,0,21.7641048431396,10,1,35086995217.1851,0,321159238411.197,10
25.9361419677734,31.1294059753418,23.7308521270752,1.37501919269562,0.176077678799629,22.0286102294922,12,1,20290295415.7612,2598267819.05644,325062378423.106,486
26.1319637298584,31.3150863647461,23.4400253295898,1.41328048706055,0.109382085502148,20.356164932251,13,1,20854893328.1234,1614082799.586,300383152614.483,487
26.1486415863037,31.6101856231689,23.3932189941406,1.99001371860504,0.0132435774430633,19.3624420166016,14,1,29365383731.667,195427162.114347,285719407099.477,488
25.1626377105713,30.999662399292,23.2775497436523,1.13468098640442,0.0249744951725006,18.721923828125,15,1,16743775315.3526,368532954.013621,276267682110.912,489
25.7552947998047,31.3665599822998,23.9025726318359,0.857325553894043,0,18.8813972473145,16,1,12651015235.5684,0,278620931289.908,490
26.103494644165,31.3845062255859,24.506160736084,1.47242093086243,0.0151751851662993,17.3828811645508,17,1,21727591747.2683,223930685.221535,256508269760.481,491
25.8931903839111,31.4016075134277,24.0569629669189,1.1483861207962,0.0332108251750469,15.3375215530396,18,1,16946013383.7369,490071307.646155,226326181416.194,20
25.4446201324463,31.1078262329102,23.5659828186035,1.90080320835114,0.165213271975517,14.0805139541626,19,1,28048960210.5568,2437948584.86009,207777309039.315,492
25.0829753875732,31.1733341217041,22.511137008667,1.20404934883118,0.027103129774332,12.4490880966187,20,1,17767400711.7278,399943879.135836,183703381363.016,23
26.4740104675293,30.9816932678223,23.8744201660156,2.17577624320984,0,9.93056774139404,22,1,32106564743.1261,0,146539156827.404,493
25.6687526702881,30.9207668304443,23.4612197875977,5.39751482009888,0,6.63148546218872,23,1,79647739313.4096,0,97856669774.4421,494
26.119592666626,29.9486503601074,23.7483310699463,0.818382263183594,0,10.4388332366943,24,1,12076353531.0814,0,154039311810.015,495
25.7438011169434,31.1644191741943,23.2868404388428,0.839569866657257,0,9.59003353118896,26,1,12389005700.5321,0,141514107169.233,496
26.1709594726562,30.2047653198242,23.2345180511475,0.827307939529419,0,8.47785568237305,29,1,12208064136.1437,0,125102396534.779,497
25.0587902069092,32.4119834899902,23.5589771270752,1.2515983581543,0,6.97305107116699,32,1,18469051605.7793,0,102896939137.117,498
24.9973258972168,31.2243137359619,24.0314025878906,0.697386920452118,0,4.46588754653931,45,1,10290901181.7654,0,65900300224.326,499
25.6275825500488,31.5840740203857,23.6574001312256,1.08068740367889,0,1.78789448738098,73,1,15947025895.5074,0,26382837064.298,500
25.6045398712158,31.0558471679688,23.5254592895508,0.920794129371643,0,1.28535413742065,90,1,13587581177.9924,0,18967164458.9977,501
25.5387344360352,31.2124919891357,23.6611995697021,0.892145335674286,0.00070100137963891,0.333681464195251,125,1,13164828906.2332,10344237.4879478,4923927985.33406,502
25.8125267028809,29.7644634246826,3.39245963096619,15.2547369003296,132.778869628906,1099.43969726562,0,2,225104580242.698,1959334461695.58,16223741725089.4,34
24.5618171691895,29.9556064605713,4.28659391403198,6.81684350967407,86.7290725708008,750.9189453125,1,2,100591882170.855,1279806502298.1,11080839681817.7,35
24.8971118927002,30.1611614227295,4.85328483581543,5.45333766937256,2.53220820426941,167.379318237305,2,2,80471482071.8594,37366207534.9767,2469911570372.84,36
24.5957660675049,30.0843715667725,4.50695705413818,7.3230767250061,1.51680815219879,117.248069763184,3,2,108062048073.209,22382586119.9897,1730156193499.33,37
26.3203964233398,29.8937015533447,2.98211741447449,3.13494944572449,2.38614559173584,108.927711486816,4,2,46260481821.0037,35210853214.6534,1607377887356.93,38
24.9847145080566,30.1854076385498,3.99238300323486,2.72253131866455,0.682952046394348,90.3394470214844,5,2,40174686308.2472,10077894803.0346,1333082532592.83,503
24.8484115600586,30.1893882751465,5.1097412109375,2.5930814743042,0.91726154088974,69.7377395629883,6,2,38264476183.5094,13535452986.4291,1029076062994.04,40
