Observation summaries of RefL0050N0752x7_752dm galaxies from snap 28 using SimSpin 2.9.0 on date: 2024-07-29
/ batch no: 
4
-------------------------------------------------------------------------------------------------
'GalaxyID','inc_deg','twist_deg','dist_z','seeing_fwhm','major_axis_a_kpc','minor_axis_b_kpc','angle','ellipticity','sersic_index'
220,70,0,0.0499830058791369,0,9.01492561662676,3.4846978916058,88.6762975303025,0.612124044566899,11.9262590356576
221,70,0,0.0634820351183218,0,12.6252590438958,9.67116733235271,70.4751389548262,0.234389527728104,1.15326188381054
222,70,0,0.0499830058791369,0,10.2488691583009,4.67681540041955,88.7157117259709,0.548657764237345,4.00108062210257
223,70,0,0.0499830058791369,0,7.97670853790504,5.05841151826129,104.44501994109,0.369487453420005,1.81421614564854
224,70,0,0.0499830058791369,0,10.767357445454,5.47928371742218,90.8352902300151,0.495471055910876,5.26216373548379
225,70,0,0.0499830058791369,0,8.49900605708828,5.34117116046161,116.621359659922,0.36431048056829,3.31174066382644
226,70,0,0.0499830058791369,0,7.78180366178868,3.13448954978459,92.8552230411568,0.59733987352032,13.255233685987
228,70,0,0.0499830058791369,0,6.19179836167372,3.04769509834435,87.6535082113303,0.527584408951309,31.9234630102931
229,70,0,0.0499830058791369,0,7.90260781034939,3.68999810740238,93.7719781730123,0.530318194154569,3.99762281352406
23,70,0,0.0499830058791369,0,4.31336003308252,1.89205186795188,91.4317033729265,0.559106900387259,8.16020638465531
230,70,0,0.0499830058791369,0,7.48237567930036,5.39567367863064,58.5752956973904,0.278222533271301,2.5010660408408
231,70,0,0.0499830058791369,0,2.29565504075526,0.689669247879697,90.1913684294541,0.699389931419117,1.10787460758148
232,70,0,0.0499830058791369,0,11.86106472042,8.81644801543848,53.0978886656686,0.259120945314399,0.965815546646859
233,70,0,0.0499830058791369,0,6.75839493104803,2.22508491701682,89.8118056350197,0.668163796455483,0.924095947724431
234,70,0,0.0499830058791369,0,5.83844857800772,2.15830632048258,90.9356620989138,0.628448829408564,13.8034187426745
235,70,0,0.0499830058791369,0,7.88984084409185,3.59916681393165,85.6394227242841,0.539032153494317,5.9140020950054
236,70,0,0.0499830058791369,0,6.90547811660732,4.17077294265487,88.3277734300069,0.406910520711066,2.06739361804533
237,70,0,0.0499830058791369,0,17.1232223819177,6.33653723016767,90.9283859508477,0.629704080665175,1.12813544779353
238,70,0,0.0499830058791369,0,3.31436328491711,1.97114981501623,89.5366655426184,0.412872254084461,6.26626645359066
239,70,0,0.0499830058791369,0,7.48942005033925,4.03343228179123,31.9185544103597,0.45860703890995,1.54628954870531
240,70,0,0.0499830058791369,0,21.45766721043,8.74314385704937,82.4548999551179,0.591117992312058,10.9963623413435
242,70,0,0.0499830058791369,0,4.85669395300308,3.99402469634871,113.725324578856,0.197187846497899,10.4413626102976
244,70,0,0.0499830058791369,0,10.3420196812023,3.69113420613214,91.6082224147503,0.646520701860855,16.1314314659489
247,70,0,0.0499830058791369,0,5.28441464988452,4.31401099258636,136.378303560935,0.222384551787992,10.9535484420211
249,70,0,0.0499830058791369,0,6.3707886542569,2.54573748839745,91.0435387213916,0.595677370737981,4.23131548654179
