Unbinned kinematic summaries of RefL0050N0752x7_752dm galaxies from snap 28 using SimSpin 2.9.0 on date: 2024-07-29
/ batch no: 
10
-------------------------------------------------------------------------------------------------
'GalaxyID','lambda_re','vsigma','j','sigma_m','rotational_velocity','unique_pixels'
40,0.603888287512643,1.9749322059982,16.5093709728349,81.7778373463459,20.3883711208377,900
400,0.794862398270491,1.25400455304484,11.8628877082103,35.4281073411841,107.953792248171,900
401,0.827196619314725,1.09508882402073,21.1708260104259,48.3054536522203,137.460895813672,900
403,0.194128613378287,0.168728786842608,4.03791599409858,67.7692332598779,15.1555042988723,900
404,0.608812069696991,0.712311544001377,15.2727326365742,56.9423118582127,80.8576367703941,900
406,0.695296387321894,0.851822118104494,19.1956888167952,46.5695483563933,89.864423865493,900
408,0.388966394882042,0.253988867125206,4.03900023578331,60.1796302129717,8.65630920220278,900
409,0.838989322251518,1.5029071574013,11.0247504630661,33.7001219294439,115.811339456691,900
410,0.741632611253274,0.983276575171094,13.8099184972889,36.0686707619823,77.6766619339636,900
411,0.73316527024738,1.03300089444836,11.0148832070406,42.3153077311334,102.93046055069,900
412,0.638900020158873,0.814007781250683,20.7544514976128,53.7656402566433,95.054219431287,900
413,0.47256902760887,0.437420790029801,2.1577826721447,55.6080940210022,20.5009170892615,900
414,0.599837719183694,0.635462771281878,13.9007370367194,57.8503317294013,85.5606267573392,900
415,0.261902761089472,0.289912066015975,6.95596332766175,63.0073632044084,9.50638773322062,900
416,0.697872326587081,0.864512557866865,6.86551526303687,40.6983063690476,87.2724303665696,900
417,0.786068750609717,1.34448840224208,14.8812890190322,34.3176021303103,95.5037793704798,900
418,0.700325588738912,0.618621039741659,5.6590487990618,40.8797467278221,47.8723559931206,900
419,0.709792555938428,0.858246987207231,6.54126064632952,41.6236820409497,63.8770672224762,900
420,0.740827013337689,1.16171402711756,18.5239288311252,27.4943483179925,89.4932968200117,900
421,0.661035551750851,0.873543027918499,4.45771337023557,37.8644655369319,92.1047618419721,900
422,0.734278097748287,0.968828711915232,11.9534128644334,35.9137761001173,72.9055273518836,900
423,0.741259858348119,0.979349178204275,13.8152468968647,38.1528828278816,78.3315654695101,900
424,0.689526600505436,0.984851001020589,9.36971391051884,43.931372677867,77.5198083405737,900
425,0.814418837964245,1.36225784629767,22.8258699511003,35.8482015697937,124.108391148755,900
427,0.76266061934648,1.06337019095416,11.3297982959868,40.4078216438147,97.3783612663294,900
